측정소,측정일시,미세먼지(PM10),초미세먼지(PM2.5),오존(O3),이산화질소(NO2),일산화탄소(CO),아황산가스(SO2),PM10등급,PM25등급
중구,2026-03-20 11:00,36,20,0.029,0.028,0.4,0.003,2,2
한강대로,2026-03-20 11:00,45,18,0.032,0.028,0.5,0.003,2,2
종로구,2026-03-20 11:00,35,18,0.034,0.025,0.4,0.003,2,2
청계천로,2026-03-20 11:00,46,20,0.029,0.031,0.5,0.002,2,2
종로,2026-03-20 11:00,43,23,0.032,0.025,0.4,0.003,2,2
용산구,2026-03-20 11:00,39,18,0.038,0.022,0.3,0.003,2,2
광진구,2026-03-20 11:00,38,16,0.034,0.020,0.4,0.003,2,2
성동구,2026-03-20 11:00,41,16,0.036,0.027,0.3,0.002,2,1
강변북로,2026-03-20 11:00,58,21,0.026,0.036,0.4,0.004,2,2
중랑구,2026-03-20 11:00,35,22,0.033,0.023,0.4,0.003,2,2
동대문구,2026-03-20 11:00,37,14,0.033,0.021,0.3,0.002,1,1
홍릉로,2026-03-20 11:00,41,14,0.027,0.031,0.5,0.002,2,1
성북구,2026-03-20 11:00,48,21,0.028,0.020,0.5,0.003,2,2
정릉로,2026-03-20 11:00,39,17,0.027,0.035,0.4,0.002,2,1
도봉구,2026-03-20 11:00,45,21,0.043,0.017,0.5,0.003,2,2
은평구,2026-03-20 11:00,-,18,0.037,0.019,0.4,0.003,,2
서대문구,2026-03-20 11:00,31,14,0.041,0.019,0.4,0.003,1,2
마포구,2026-03-20 11:00,35,12,0.041,0.019,0.3,0.003,2,1
신촌로,2026-03-20 11:00,45,17,0.029,0.035,0.5,0.003,2,1
강서구,2026-03-20 11:00,36,13,0.040,0.019,0.3,0.003,2,2
공항대로,2026-03-20 11:00,42,13,0.035,0.027,0.3,0.003,2,1
구로구,2026-03-20 11:00,40,16,0.041,0.017,0.3,0.003,2,2
영등포구,2026-03-20 11:00,32,16,0.042,0.018,0.3,0.003,1,1
영등포로,2026-03-20 11:00,51,16,0.029,0.030,0.4,0.003,2,2
동작구,2026-03-20 11:00,33,18,0.045,0.016,0.3,0.003,1,1
동작대로 중앙차로,2026-03-20 11:00,35,19,0.035,0.026,0.3,0.002,1,2
관악구,2026-03-20 11:00,35,11,0.043,0.016,0.3,0.003,1,1
강남구,2026-03-20 11:00,39,15,0.037,0.020,0.3,0.002,2,1
서초구,2026-03-20 11:00,57,18,0.033,0.025,0.3,0.003,2,2
도산대로,2026-03-20 11:00,42,17,0.039,0.020,0.5,0.003,2,2
강남대로,2026-03-20 11:00,47,17,0.028,0.024,0.4,0.003,2,2
송파구,2026-03-20 11:00,-,-,-,-,-,-,1,1
강동구,2026-03-20 11:00,49,20,0.040,0.020,0.4,0.003,2,2
천호대로,2026-03-20 11:00,35,10,0.036,0.021,0.4,0.002,,
금천구,2026-03-20 11:00,39,21,0.041,0.020,0.3,0.003,2,2
시흥대로,2026-03-20 11:00,38,15,0.035,0.021,0.4,0.003,2,1
강북구,2026-03-20 11:00,38,21,0.040,0.018,0.3,0.002,1,1
양천구,2026-03-20 11:00,31,10,0.043,0.017,0.3,0.003,2,2
노원구,2026-03-20 11:00,37,15,0.037,0.021,0.3,0.002,2,2
화랑로,2026-03-20 11:00,40,19,0.027,0.041,0.4,0.003,2,2
